hour,is_weekend,total_rentals
0,0,2580.6363636363635
0,1,3287.0
1,0,1710.8181818181818
1,1,2277.125
2,0,1135.2272727272727
2,1,1564.25
3,0,832.5454545454545
3,1,1078.5
4,0,809.6818181818181
4,1,763.0
5,0,1952.2272727272727
5,1,961.75
6,0,4378.318181818182
6,1,1512.875
7,0,10214.727272727272
7,1,2270.125
8,0,13236.363636363636
8,1,3561.25
9,0,6443.909090909091
9,1,4468.5
10,0,4455.090909090909
10,1,4861.125
11,0,5031.636363636364
11,1,5039.875
12,0,5275.863636363636
12,1,5603.875
13,0,5013.227272727273
13,1,5840.625
14,0,5054.409090909091
14,1,5740.5
15,0,6080.863636363636
15,1,6148.25
16,0,7914.0
16,1,6944.875
17,0,11783.863636363636
17,1,7824.375
18,0,15097.045454545454
18,1,8027.125
19,0,10273.272727272728
19,1,7903.75
20,0,8497.545454545454
20,1,7765.125
21,0,7504.727272727273
21,1,6844.5
22,0,6132.045454545455
22,1,5336.375
23,0,3655.0
23,1,3749.75
